pair,crop,mae,rmse,mape,n_rows,n_folds,target
rice/Kintampo,rice,0.4242186018162304,0.561933443393885,7.803115410725558,48,3,returns
rice/Koforidua,rice,1.2503674925118682,2.010741023090233,12.34542071578825,35,3,returns
rice/Kumasi,rice,0.825053956359625,1.1324158925952172,10.926311356679339,50,4,returns
rice/Mankessim,rice,1.1378972741762798,1.4439761993630256,15.203908232725263,43,3,returns
rice/Obuasi,rice,0.5662150032917659,0.8198402294724731,5.9403683030503815,42,3,returns
rice/Sekondi-Takoradi,rice,0.5765470528768168,0.8119645525300262,6.38681111431116,48,3,returns
rice/Sunyani,rice,0.6596761502623558,0.9313176038566896,9.526671510340645,51,4,returns
rice/Tamale,rice,0.9341316124598186,1.2607998281144344,12.308633278654952,43,3,returns
rice/Techiman,rice,0.446801339864731,0.5993417831309856,7.788652392954947,53,4,returns
rice/Tema,rice,1.8028492600577215,2.426385359711275,20.749504528986712,31,3,returns
rice/Wa,rice,0.6827102985205474,0.920426649321464,9.804177793075121,39,3,returns
rice/Yendi,rice,0.3762100696021859,0.49360804348828263,5.503273293413886,44,3,returns
sorghum/Accra,sorghum,0.4013749695867299,0.6469286425303108,10.570154779581848,52,4,returns
sorghum/Bolgatanga,sorghum,0.2519027963551607,0.394396669309003,6.917694294196493,47,3,returns
sorghum/Cape Coast,sorghum,0.5178655401424126,0.6490673423653521,5.159442528021995,38,3,returns
sorghum/Garu,sorghum,0.499918104835919,0.6422113304608772,11.038255691576857,23,2,returns
sorghum/Ho,sorghum,0.8937066234151523,1.2170317778083808,12.55627198986322,34,3,returns
sorghum/Hohoe,sorghum,0.8476153354985373,1.0225184363723545,8.914607458597537,21,1,returns
sorghum/Kintampo,sorghum,0.42692178770899786,0.5354482303444049,8.208065961194029,35,3,returns
sorghum/Koforidua,sorghum,0.4153403859006034,0.698604339608273,6.159969172819908,27,2,returns
